,t_split,fst,seg1,seg2,tajima1,tajima2,pi1,pi2
240,7674.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
241,5968.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
242,2503.0,0.0968922999503018,0.46,0.25,0.46,0.25,0.09113030303030312,0.054788686868686876
243,7040.0,0.238173372744654,0.41,0.136,0.41,0.136,0.08495535353535341,0.01863757575757576
244,6532.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
245,3894.0,0.1424724049672893,0.382,0.168,0.382,0.168,0.0784880808080808,0.05365737373737365
246,2986.0,0.07580585210041602,0.405,0.206,0.405,0.206,0.07908121212121214,0.055840606060606056
247,2663.0,0.12179125602379326,0.439,0.225,0.439,0.225,0.0894868686868686,0.04692949494949495
248,4771.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
249,6311.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
250,7027.0,0.2244935571251988,0.41,0.136,0.41,0.136,0.08184141414141415,0.02047353535353536
251,4216.0,0.19594332705671624,0.444,0.16,0.444,0.16,0.08963717171717163,0.023314747474747505
252,4768.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
253,6161.0,0.22281145181017048,0.416,0.145,0.416,0.145,0.09517898989898983,0.021094141414141416
254,5114.0,0.2567248533566179,0.402,0.129,0.402,0.129,0.08226060606060606,0.020680404040404044
255,3547.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
256,2068.0,0.07933083498265459,0.399,0.254,0.399,0.254,0.08842929292929293,0.07571434343434348
257,6497.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
258,3784.0,0.13974863055969267,0.428,0.154,0.428,0.154,0.08352727272727273,0.03626424242424248
259,4534.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
260,3145.0,0.14756511392554017,0.411,0.209,0.411,0.209,0.07619616161616158,0.04620282828282829
261,4216.0,0.19594332705671624,0.444,0.16,0.444,0.16,0.08963717171717163,0.023314747474747505
262,2523.0,0.0968922999503018,0.46,0.25,0.46,0.25,0.09113030303030312,0.054788686868686876
263,2533.0,0.0968922999503018,0.46,0.25,0.46,0.25,0.09113030303030312,0.054788686868686876
264,4255.0,0.24703521452911625,0.4,0.173,0.4,0.173,0.07530080808080812,0.02494707070707075
265,2995.0,0.07580585210041602,0.405,0.206,0.405,0.206,0.07908121212121214,0.055840606060606056
266,6795.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
267,2635.0,0.12179125602379326,0.439,0.225,0.439,0.225,0.0894868686868686,0.04692949494949495
268,5983.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
269,3611.0,0.10579482100802418,0.418,0.186,0.418,0.186,0.08879494949494948,0.048000808080808074
270,5356.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
271,5280.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
272,2981.0,0.07580585210041602,0.405,0.206,0.405,0.206,0.07908121212121214,0.055840606060606056
273,2787.0,0.11380925428612143,0.425,0.207,0.425,0.207,0.08152020202020195,0.05089777777777782
274,7441.0,0.26544957137565894,0.395,0.126,0.395,0.126,0.08599393939393932,0.019206464646464635
275,5751.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
276,3767.0,0.13974863055969267,0.428,0.154,0.428,0.154,0.08352727272727273,0.03626424242424248
