==================================================================
fastsimcoal started on 26/06/2025 at 16:01:54

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
378	1	data unknown	1208.35	0	0
379	1	data unknown	53.4439	0	0
380	1	data unknown	165.688	0	0
381	1	data unknown	2775.1	0	0
382	1	data unknown	3220.73	0	0
383	1	data unknown	2191.79	0	0
384	1	data unknown	778.641	0	0
385	1	data unknown	495.331	0	0
386	1	data unknown	998.032	0	0
387	1	data unknown	2717.49	0	0
388	1	data unknown	230.194	0	0
389	1	data unknown	1238.36	0	0
390	1	data unknown	266.975	0	0
391	1	data unknown	923.698	0	0
392	1	data unknown	3290.52	0	0
393	1	data unknown	5646.17	0	0
394	1	data unknown	4152.88	0	0
395	1	data unknown	2509.83	0	0
396	1	data unknown	6.49261	0	0
397	1	data unknown	2808.98	0	0
398	1	data unknown	2726.01	0	0
399	1	data unknown	3809.51	0	0
400	1	data unknown	3350.28	0	0
401	1	data unknown	411.537	0	0
402	1	data unknown	7226.64	0	0
403	1	data unknown	2223.46	0	0
404	1	data unknown	5416.4	0	0
405	1	data unknown	2774.77	0	0
406	1	data unknown	1218.52	0	0
407	1	data unknown	2607.14	0	0
408	1	data unknown	7.90405	0	0
409	1	data unknown	1546.37	0	0
410	1	data unknown	5365.89	0	0
411	1	data unknown	862.16	0	0
412	1	data unknown	627.708	0	0
413	1	data unknown	3444.44	0	0
414	1	data unknown	852.287	0	0
415	1	data unknown	3265.64	0	0
416	1	data unknown	75.3555	0	0
417	1	data unknown	442.657	0	0
418	1	data unknown	1082.93	0	0
419	1	data unknown	1449.22	0	0
420	1	data unknown	208.298	0	0
421	1	data unknown	464.134	0	0
422	1	data unknown	46.0129	0	0
423	1	data unknown	577.141	0	0
424	1	data unknown	1688.99	0	0
425	1	data unknown	1122.13	0	0
426	1	data unknown	171.982	0	0
427	1	data unknown	1180.92	0	0
428	1	data unknown	827.034	0	0
429	1	data unknown	121.231	0	0
430	1	data unknown	1202.23	0	0
431	1	data unknown	464.874	0	0
432	1	data unknown	1306.62	0	0
433	1	data unknown	545.601	0	0
434	1	data unknown	422.02	0	0
435	1	data unknown	1118.89	0	0
436	1	data unknown	1664.69	0	0
437	1	data unknown	655.472	0	0
438	1	data unknown	2875.8	0	0
439	1	data unknown	4190.39	0	0
440	1	data unknown	94.1238	0	0
441	1	data unknown	500.473	0	0
442	1	data unknown	260.521	0	0
443	1	data unknown	807.678	0	0
444	1	data unknown	198.074	0	0
445	1	data unknown	5131.94	0	0
446	1	data unknown	632.988	0	0
447	1	data unknown	2832.22	0	0
448	1	data unknown	1054.48	0	0
449	1	data unknown	1160.56	0	0
450	1	data unknown	763.992	0	0
451	1	data unknown	2159.16	0	0
452	1	data unknown	2736.81	0	0
453	1	data unknown	1451.23	0	0
454	1	data unknown	1217.95	0	0
455	1	data unknown	8661.61	0	0
456	1	data unknown	213.448	0	0
457	1	data unknown	5885.31	0	0
